epoch,train_loss,val_loss,val_f1,val_precision,val_recall,val_roc_auc,elapsed_s
1,0.4393,0.355603,0.753903,0.985086,0.610605,0.909042,4387.6
2,0.356881,0.331365,0.771094,0.941731,0.652809,0.915568,8773.7
3,0.336419,0.306156,0.789133,0.982241,0.659479,0.93599,13159.9
4,0.294053,0.289426,0.812086,0.99324,0.686819,0.944922,17555.4
5,0.281539,0.263259,0.837057,0.958651,0.742837,0.946093,21936.9
6,0.27418,0.263866,0.843296,0.97131,0.745095,0.948086,26316.0
7,0.270316,0.246484,0.853108,0.958412,0.768653,0.950327,30700.0
8,0.26628,0.24265,0.854642,0.953587,0.774299,0.952024,35075.8
9,0.263434,0.241001,0.855535,0.949604,0.778423,0.952737,39449.9
10,0.260522,0.240881,0.853208,0.916672,0.797962,0.952667,43827.9
11,0.257729,0.239016,0.857257,0.937432,0.789716,0.95343,48205.6
12,0.256,0.240007,0.841756,0.872881,0.812774,0.954833,52590.6
13,0.252976,0.233575,0.860802,0.961319,0.779316,0.95556,56968.1
14,0.2505,0.231181,0.847762,0.887558,0.811382,0.957115,61347.0
15,0.248836,0.242388,0.832748,0.843678,0.822097,0.954414,65721.6
16,0.245639,0.228253,0.864022,0.943586,0.796833,0.958204,70100.0
17,0.244274,0.230142,0.859219,0.9436,0.788691,0.958556,74476.9
18,0.243178,0.231733,0.855177,0.900154,0.814481,0.95868,78860.4
19,0.240897,0.223306,0.864773,0.916493,0.818578,0.95939,83243.4
20,0.238754,0.225792,0.867267,0.980045,0.777766,0.961278,87629.9
21,0.237069,0.242008,0.824595,0.822923,0.826273,0.956922,92008.4
22,0.236224,0.216498,0.860946,0.89847,0.826431,0.962663,96413.3
23,0.234782,0.214514,0.871618,0.941055,0.811724,0.963073,100672.1
24,0.23397,0.220149,0.864312,0.922829,0.812774,0.960198,104932.0
25,0.231832,0.218588,0.873011,0.977477,0.788718,0.962873,109192.7
26,0.231219,0.225233,0.835023,0.821311,0.8492,0.962856,113451.8
27,0.230003,0.214314,0.872786,0.93813,0.815952,0.962985,117716.2
28,0.229289,0.214607,0.862183,0.906314,0.82215,0.963382,121979.5
29,0.228597,0.214899,0.875261,0.976925,0.792762,0.964874,126237.9
30,0.227936,0.205552,0.87752,0.956748,0.81041,0.966176,130504.6
31,0.227727,0.215531,0.873683,0.976666,0.790346,0.964031,134765.0
32,0.227179,0.206283,0.881053,0.973168,0.804869,0.966669,139029.3
33,0.226685,0.213101,0.873522,0.949022,0.80915,0.962618,143286.5
34,0.226132,0.209887,0.873484,0.920998,0.830633,0.965145,147550.3
35,0.22549,0.207174,0.882591,0.969865,0.809728,0.965623,151809.0
36,0.225045,0.207288,0.882459,0.980578,0.80219,0.966157,156068.9
37,0.22421,0.204246,0.881942,0.963497,0.813116,0.966855,160326.4
38,0.223863,0.210602,0.876285,0.973494,0.796728,0.966051,164592.5
39,0.224113,0.204903,0.883357,0.959054,0.818736,0.965716,168848.7
40,0.223103,0.212286,0.877092,0.983804,0.791265,0.966267,173104.9
41,0.22273,0.202308,0.883772,0.961663,0.817554,0.966495,177372.3
42,0.222453,0.215864,0.87925,0.981359,0.796386,0.964482,181627.5
43,0.221294,0.21158,0.878572,0.951494,0.816031,0.960699,185889.7
44,0.221076,0.203606,0.872233,0.922854,0.826877,0.966598,190151.2
45,0.221168,0.204653,0.862787,0.875476,0.850461,0.967573,194412.8
46,0.220619,0.201525,0.884237,0.962619,0.817659,0.967214,198678.9
47,0.220423,0.204563,0.882934,0.970958,0.809544,0.967366,202938.5
48,0.219909,0.198243,0.884765,0.962053,0.818972,0.968522,207194.2
49,0.219579,0.198336,0.882395,0.95238,0.821992,0.968014,211455.4
50,0.219173,0.200907,0.88204,0.961967,0.814376,0.967211,215711.5
51,0.218241,0.204356,0.881904,0.972791,0.80655,0.96634,219970.1
52,0.217751,0.208518,0.87776,0.984428,0.791948,0.967642,224231.7
53,0.216983,0.20894,0.880846,0.981949,0.798619,0.966155,228484.2
54,0.217113,0.199969,0.868795,0.89515,0.843948,0.967595,232749.6
55,0.216772,0.196396,0.881351,0.937128,0.831841,0.968255,237006.5
56,0.216321,0.202219,0.883491,0.970156,0.811041,0.967473,241265.1
57,0.207782,0.19029,0.890867,0.965878,0.826667,0.970269,245523.3
58,0.207368,0.193032,0.891715,0.976585,0.820417,0.969891,249780.7
59,0.20645,0.201006,0.884513,0.983886,0.803372,0.968101,254040.6
60,0.20678,0.18815,0.891359,0.964105,0.828821,0.971165,258304.1
61,0.20601,0.193785,0.885972,0.949383,0.830501,0.968662,262568.1
62,0.206331,0.189852,0.887198,0.949148,0.832839,0.969978,266833.5
63,0.205471,0.195368,0.887474,0.982896,0.80894,0.971055,271088.6
64,0.205621,0.203715,0.886118,0.983689,0.806156,0.967353,275353.0
65,0.20575,0.196602,0.887306,0.967385,0.819471,0.970213,279611.2
66,0.205579,0.190476,0.893669,0.968916,0.829267,0.96909,283872.0
67,0.20543,0.191971,0.887741,0.969227,0.818893,0.970545,288133.9
68,0.205161,0.191181,0.886593,0.952157,0.829477,0.970422,292397.2
69,0.205014,0.189096,0.887985,0.948737,0.834546,0.970439,296653.7
