epoch,train_loss,val_loss,val_f1,val_precision,val_recall,val_roc_auc,elapsed_s
1,0.658058,0.499346,0.743956,0.962949,0.606114,0.917433,4943.7
2,0.432348,0.368595,0.794821,0.800613,0.789112,0.942552,9807.7
3,0.377315,0.357702,0.834597,0.959083,0.738714,0.947817,14676.3
4,0.356144,0.337924,0.848013,0.926759,0.7816,0.94761,19530.5
5,0.348208,0.331449,0.792219,0.739913,0.852483,0.953636,24393.8
6,0.338196,0.31082,0.862934,0.93808,0.798934,0.954123,29259.4
7,0.330443,0.313713,0.836874,0.835243,0.838511,0.953442,34123.3
8,0.324434,0.302938,0.863974,0.908901,0.823279,0.954796,38994.5
9,0.321237,0.300345,0.867492,0.942988,0.803188,0.956813,43853.9
10,0.315413,0.294373,0.860578,0.902522,0.82236,0.957255,48717.4
11,0.313919,0.295877,0.861895,0.90921,0.819261,0.956477,53582.0
12,0.310961,0.298703,0.870951,0.93989,0.811435,0.955193,58441.8
13,0.307434,0.305899,0.811669,0.768172,0.860388,0.958216,63311.8
14,0.302102,0.287162,0.871286,0.936261,0.814744,0.960738,68174.6
15,0.297988,0.289284,0.840131,0.832388,0.848018,0.95886,73038.4
16,0.29488,0.28205,0.855251,0.871369,0.83972,0.961834,77897.3
17,0.289941,0.287416,0.871586,0.925153,0.823883,0.958672,82759.1
18,0.285779,0.268975,0.857645,0.850023,0.865404,0.964892,87629.9
19,0.284296,0.275346,0.885383,0.959869,0.821625,0.963987,92489.2
20,0.280948,0.272799,0.875881,0.917837,0.837592,0.961244,97360.1
21,0.278936,0.262428,0.866378,0.874432,0.858471,0.964737,102224.8
22,0.276591,0.254252,0.891,0.944069,0.84358,0.966168,107089.0
23,0.272958,0.281738,0.884567,0.984138,0.803293,0.964312,111954.7
24,0.266821,0.256687,0.872148,0.880683,0.863776,0.965697,116817.7
25,0.265359,0.243087,0.891216,0.925673,0.859233,0.969193,121685.4
26,0.260682,0.252258,0.875221,0.884768,0.865877,0.967435,126552.7
27,0.258181,0.25996,0.889394,0.947824,0.83775,0.966527,131424.2
28,0.256095,0.256032,0.898922,0.983493,0.827744,0.969866,136299.1
29,0.252833,0.247799,0.900421,0.974435,0.836857,0.970151,141165.5
30,0.251279,0.246246,0.900774,0.967013,0.843029,0.97058,146035.3
31,0.248264,0.238658,0.900678,0.960546,0.847835,0.971961,150902.7
32,0.247969,0.243851,0.90197,0.972919,0.840665,0.970948,155774.2
33,0.24387,0.234061,0.902995,0.962379,0.850513,0.972445,160637.0
34,0.240813,0.244193,0.904188,0.977067,0.841427,0.971395,165502.5
35,0.240325,0.247619,0.903366,0.98107,0.837067,0.971103,170365.5
36,0.241968,0.231336,0.903156,0.957187,0.854899,0.972042,175238.9
37,0.236973,0.260582,0.823851,0.755704,0.905507,0.972582,180106.6
38,0.234762,0.227702,0.908959,0.97215,0.853481,0.974183,184969.8
39,0.2353,0.235501,0.867128,0.844681,0.8908,0.971959,189832.4
40,0.232422,0.230502,0.910183,0.982676,0.847651,0.97364,194694.4
41,0.232624,0.217759,0.888726,0.884771,0.892717,0.975494,199560.6
42,0.229564,0.240221,0.906817,0.988077,0.837907,0.97489,204431.2
43,0.229219,0.225888,0.907699,0.961762,0.85939,0.973991,206267.5
44,0.227613,0.216967,0.910673,0.958875,0.867085,0.975274,207670.8
45,0.227243,0.222091,0.898388,0.928243,0.870394,0.97398,209073.7
46,0.225667,0.222161,0.9096,0.969449,0.856711,0.97467,210479.6
47,0.222801,0.211241,0.914474,0.966233,0.867978,0.976735,211885.1
48,0.223731,0.227096,0.914022,0.987144,0.850986,0.974722,213292.1
49,0.222734,0.220587,0.91494,0.979155,0.858629,0.977644,214695.2
50,0.221213,0.222992,0.912685,0.981445,0.85293,0.975739,216104.2
51,0.219191,0.20728,0.914392,0.961312,0.871839,0.977333,217509.9
52,0.217332,0.207503,0.915805,0.965665,0.870841,0.977644,218916.9
53,0.21875,0.205812,0.919137,0.973564,0.870473,0.977451,220320.9
54,0.216057,0.226868,0.912527,0.988122,0.847677,0.976621,221725.2
55,0.213364,0.200542,0.901767,0.905516,0.898049,0.978478,223133.3
56,0.213194,0.239004,0.908904,0.99312,0.837855,0.974724,224540.3
57,0.211147,0.193457,0.915714,0.944156,0.888936,0.979098,225943.0
58,0.21138,0.212333,0.917764,0.984888,0.859206,0.97898,227346.1
59,0.210688,0.207436,0.919106,0.971531,0.872049,0.976911,228749.5
60,0.20975,0.193258,0.913576,0.93214,0.895738,0.979412,230157.2
61,0.209219,0.194776,0.909934,0.928994,0.891641,0.979707,231563.6
62,0.197137,0.187063,0.923235,0.963588,0.886125,0.980887,232971.5
63,0.194594,0.185999,0.921546,0.953828,0.891378,0.980825,234377.4
64,0.192243,0.184669,0.925419,0.968453,0.886047,0.98125,235786.1
65,0.19099,0.202206,0.923981,0.99089,0.865536,0.981175,237191.3
66,0.190339,0.184191,0.926642,0.97329,0.884261,0.981635,238596.7
67,0.190283,0.18439,0.922376,0.955911,0.891115,0.981266,240002.9
68,0.190903,0.193764,0.925447,0.986214,0.871734,0.982304,241408.7
69,0.188495,0.184264,0.928293,0.974007,0.886677,0.98188,242816.6
70,0.188611,0.176953,0.930367,0.971176,0.892849,0.982632,244219.1
71,0.187525,0.177299,0.931352,0.976245,0.890406,0.982953,245625.1
72,0.189195,0.195914,0.925594,0.990684,0.86853,0.981874,247033.9
73,0.188798,0.18644,0.928296,0.979557,0.882134,0.981903,248439.9
74,0.187872,0.188027,0.928224,0.986751,0.876251,0.982478,249846.0
75,0.186828,0.177706,0.929238,0.97133,0.890643,0.982963,251253.7
76,0.186921,0.186184,0.93,0.986941,0.879271,0.982387,252657.1
77,0.186124,0.175547,0.926249,0.956546,0.897812,0.982953,254063.2
78,0.185765,0.182193,0.929869,0.98018,0.884471,0.982688,255468.6
79,0.183404,0.177071,0.930649,0.974482,0.89059,0.983217,256874.0
80,0.178919,0.175522,0.93301,0.982484,0.888279,0.983791,258282.0
81,0.177623,0.172578,0.932499,0.976463,0.892323,0.984114,259691.1
82,0.17732,0.177186,0.932003,0.981634,0.88715,0.984093,261097.4
