epoch,train_loss,val_loss,val_f1,val_precision,val_recall,val_roc_auc,elapsed_s
1,1.417504,1.39787,0.543006,0.511966,0.578053,0.801026,2008.1
2,1.297062,1.263534,0.359146,0.222805,0.925472,0.80548,4027.0
3,1.273708,1.22527,0.369294,0.231759,0.908333,0.808251,6040.6
4,1.257995,1.208064,0.420869,0.282393,0.825827,0.810637,8055.1
5,1.245579,1.177821,0.486429,0.358172,0.757785,0.822718,10069.3
6,1.216725,1.153718,0.387299,0.24639,0.904679,0.837638,12085.4
7,1.123883,1.016288,0.594176,0.473621,0.797056,0.882505,14101.2
8,1.08263,1.014908,0.640691,0.547201,0.772711,0.884883,16116.8
9,1.051537,1.083757,0.398756,0.253011,0.940553,0.889551,18131.1
10,1.037192,0.989725,0.71235,0.685345,0.741572,0.895594,20150.5
11,1.017957,0.960633,0.620372,0.506684,0.799835,0.893939,22167.6
12,1.016004,1.027158,0.448467,0.296907,0.916105,0.89406,24181.6
13,1.005461,1.001045,0.454733,0.302684,0.913737,0.89474,26202.8
14,1.000402,0.970157,0.686803,0.624006,0.763652,0.894383,28222.0
15,0.997179,0.939923,0.666108,0.583011,0.776828,0.899699,30237.0
16,0.984385,0.923212,0.636885,0.527506,0.80349,0.899994,32254.3
17,0.986526,0.972556,0.503321,0.351275,0.887436,0.897113,34273.5
18,0.979676,0.92243,0.570316,0.427635,0.855886,0.900813,36292.0
19,0.958801,0.907129,0.562593,0.416276,0.867518,0.904951,38299.3
20,0.951303,1.00988,0.753463,0.803029,0.709661,0.903723,40306.5
21,0.950341,0.897215,0.627003,0.503923,0.829636,0.906184,42314.8
22,0.949277,0.91838,0.531136,0.379421,0.885017,0.903681,44319.2
23,0.945725,0.896932,0.561991,0.41476,0.871275,0.90639,46325.7
24,0.946216,0.89825,0.62911,0.50642,0.830254,0.904749,48332.4
25,0.943468,0.92905,0.514197,0.360903,0.89387,0.905967,50338.8
26,0.941964,0.923227,0.496363,0.342055,0.904318,0.907412,52342.0
27,0.941139,0.894019,0.561255,0.414871,0.86726,0.906736,54351.1
28,0.937401,0.910974,0.631594,0.513605,0.81996,0.901626,56360.2
29,0.923777,0.880918,0.596825,0.458357,0.855165,0.909445,58367.8
30,0.921454,0.905804,0.704957,0.641681,0.782078,0.91039,60374.6
31,0.922102,0.927866,0.727107,0.695609,0.761593,0.909564,62379.5
32,0.920446,0.874646,0.585325,0.44272,0.863452,0.91113,64391.5
33,0.921765,0.884671,0.666302,0.563631,0.81471,0.911192,66428.4
34,0.920043,0.883737,0.662122,0.557602,0.814864,0.911122,68456.9
35,0.918789,0.877815,0.668753,0.5649,0.819394,0.912629,70466.6
